ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-525-54024-4;Hebrew Bible/Old Testament - komplett;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-88008-2;Systematische Theologie;Pannenberg, Wolfhart;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-49082-2;Traumatherapie mit EMDR: Handbuch und DVD;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-59366-1;Zwischen Synoptikern und Gnosis – ein viertes Evangelium;Bergmeier, Roland;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-35092-9;Luftmenschen;Berg, Nicolas;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71089-0;VIVA 3;Bartoszek, Verena /Datené, Verena;20140804;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30056-5;Weißkittel und Braunhemd ;Marg, Stine /Pülm, Bonnie;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-71098-3;Ovid, Orpheus und Eurydike;Schlingmeyer, Katja;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99674-5;Elemente der Themenzentrierten Interaktion (TZI);-;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99600-4;Kirchengeschichtliche Grundthemen;Gutschera, Herbert /Lachmann, Rainer;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-71103-4;Von Hochmut, Zorn und Leidenschaft;Bossmanns, Beate;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55070-0;Konsolidierung des reformierten Bekenntnisses im Reich der Stephanskrone;Bernhard, Jan-Andrea;20150128;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99655-4;Einander helfen;Zimpel, André Frank;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-65261-9;Pfarrerkalender/PfarrerInnenkalender;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-72001-2;Basiswortschatz Platon;Holtermann, Martin;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56446-2;Theologie als Bekenntnis;Reichel, Hanna;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-45022-3;Kunst und Psyche – Berührungspunkte und Begegnungen;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-60453-4;Was bedeutet Spiritualität?;Keller, Barbara /Streib, Heinz;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30054-1;Towards Mutual Security;-;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-54398-6;Tabou et transgressions;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-53118-2;Kulturgeschichte des 19. Jahrhunderts;Grabner-Haider, Anton /Klaus S. Davidowicz;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40229-1;Trauernde Jugendliche in der Familie;Witt-Loers, Stephanie;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-46214-0;Traumatherapie mit EMDR;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36727-8;Spielarten des Gottes-Genusses;Zech, Andrea;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-35078-2;Ausreise per Antrag: Der lange Weg nach drüben;Hürtgen, Renate;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36725-4;Christianitas;Geelhaar, Tim;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-56415-8;Lutherrenaissance Past and Present;-;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55061-8;Be Renewed;van Vlastuin, Willem;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30068-8;Geschichte denken;-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36943-2;Jahrbuch des Simon-Dubnow-Instituts / Simon Dubnow Institute Yearbook XIII/2014;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-50343-1;Liederkunde zum Evangelischen Gesangbuch. Heft 20;-;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40379-2;Rituale und Spiritualität in der Psychotherapie;Brentrup, Martin /Kupitz, Gaby;20150901;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-49154-7;Die Lust am Tabubruch;Kraft, Hartmut;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71087-6;VIVA 2 - Ausgabe Bayern;Bartoszek, Verena /Datené, Verena;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71091-3;VIVA 3 Arbeitsheft;Kliemt, Stefan;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99705-6;Evangelische Mystik;Zimmerling, Peter;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54033-6;Expanding Ezekiel;Mackie, Timothy P.;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70120-1;Fantasiereisen für Schüler;Stein, Meike;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99707-0;Männerbeziehungen;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40248-2;Das Alphabet der Trauer;Hemmann, Isabella;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30076-4;Die Einheit;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40123-1;Lehrbuch der Psychodynamik;Mentzos, Stavros;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-37308-8;Ordnung und Sicherheit, Devianz und Kriminalität im Staatssozialismus;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-80011-9;Die Stadt;-;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-37033-9;Geschlechtergeschichten der Neuzeit;Bock, Gisela;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
