ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-647-99713-1;Internationale Personalauswahl;Riedel, Tim;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54045-9;BACCHIUS IUDAEUS;Scott, James M.;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-49155-3;Internationale Personalauswahl;Riedel, Tim;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-53464-9;Die Weisheit Salomos;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40368-7;Beratung: Reflexivität als Profession;Seel, Hans-Jürgen;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-77010-8;Religion mit Kindern 3;Steinkühler, Martina;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-64197-2;Evangelisches Gesangbuch Taschenausgabe - neue Rechtschreibung;-;20141001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99703-2;Die Taten des Petrus;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56413-4;De libertate et servitute spiritus;Dietz, Martin;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40468-4;Lehrbuch der MarteMeo-Methode;Bünder, Peter /Helfer, Angela;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30166-2;Vergessene Vielfalt;-;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30033-6;Empires [AT];Hirschhausen, Ulrike von /Leonhard, Jörn;20140701;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-62430-2;Theologia Prima;Haspelmath-Finatti, Dorothea;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55787-7;Handbook of Dutch Church History;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-62433-3;Von den Künsten lernen;Dober, Hans Martin;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40258-1;Leid kreativ wandeln;Rechenberg-Winter, Petra;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40255-9;Trauernde hören, wertschätzen, verstehen;Mucksch, Norbert;20150311;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-90041-4;VIVA 3 Klassenarbeiten;Bartoszek, Verena /Datené, Verena;20150201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77685-9;Zwischen Abseits und Jenseits — Fußball und Religion;Arnhold, Oliver /Klein, Constantin;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54037-5;Devianz und Dynamik;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40230-6;Gruppenpsychotherapie und Gruppenanalyse;-;20140813;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99580-9;Systemische Therapie in Aktion;Bleckwedel, Jan;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56414-1;Bestimmtes Selbst;Sievers, Sebastian;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99530-4;Stärke statt Macht;Omer, Haim /Schlippe, Arist von;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-10135-3;Herrscherbilder und politische Normbildung;Weiand, Kerstin;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55079-3;Reformation und Rationalität;-;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-54025-1;Betsaida/Bethsaida – Julias (et-Tell);Kuhn, Heinz-Wolfgang;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-57038-8;Reformation 1517–2017;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-01435-6;Schuld und Schuldgefühl;Hirsch, Mathias;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-71103-3;Von Hochmut, Zorn und Leidenschaft;Bossmanns, Beate;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-27832-1;Göttinger Händel-Beiträge, Band 15;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70208-7;Musik für den Religionsunterricht;Lindner, Heike;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36964-8;Sachsen und der Nationalsozialismus;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-50005-8;Buddhismus;Freiberger, Oliver /Kleine, Christoph;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55084-8;The Spirituality of the Heidelberg Catechism;-;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80007-3;Tabus;-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-92005-4;Handbuch Interkulturelle Öffnung;-;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45021-5;Seelische Wirklichkeiten in virtuellen Welten;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45188-5;Handbuch Trauerbegegnung und -begleitung;Brathuhn, Sylvia /Müller, Monika;20140917;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-37040-7;Protest, Parteien, Interventionsstaat;Puhle, Hans-Jürgen;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99591-5;Den christlichen Glauben verstehen;Ogden, Schubert M.;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-63053-2;Die Losungen;Zimmerling, Peter;20140813;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-61619-3;Kompetenzorientiertes Lehren und Lernen im Religionsunterricht;Obst, Gabriele;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40373-0;Das Problem, der Spruch, die Lösung;Kühling, Ludger;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-10136-1;Fürstinnen und Konfession;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99718-6;Kunst und Psyche – Berührungspunkte und Begegnungen;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56713-5;Versöhnung;Wenz, Gunther;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-71105-7;Latine loqui: gehört - gesprochen - gelernt;Bethlehem, Ulrike;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54035-1;The Great Controversy;de Bruin, Tom;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40211-5;Regenbogenbandwurmhüpfer;Heimes, Silke;20110309;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-49096-0;Systemische Beratung in fünf Gängen;Brüggemann, Helga /Ehret-Ivankovic, Kristina;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54025-2;Betsaida/Bethsaida – Julias (et-Tell);Kuhn, Heinz-Wolfgang;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-45376-7;Systemische Beratung und Familientherapie – kurz, bündig, alltagstauglich;Fryszer, Andreas /Schwing, Rainer;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40367-9;Personalmanagement in Familienunternehmen;Haralambie, Dana /Kebbekus, Robert;20141001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80611-2;JETZT! LEBEN mit Krebs;-;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-57224-5;Jahrbuch für Liturgik und Hymnologie;-;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-60452-7;Meaning and Melancholy in the Thought of Emmanuel Levinas;Holte, Stine;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40446-1;Im Dickicht der Organisation;Heltzel, Rudolf /Weigand, Wolfgang;20140716;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-40251-2;Wachsame Sorge;Omer, Haim;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-61620-8;Männerspezifische Bibelauslegung/Männerbeziehungen;Knieling, Reiner /Ruffing, Andreas;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70217-8;Kompetenzorientiert unterrichten im RU;Eickmann, Jeannette /Peter, Dietmar;20150801;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55857-8;Nikolaus Ludwig von Zinzendorf: Bibel und Bibelgebrauch;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30072-5;Asien und Europa im Mittelalter;Reichert, Folker;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99712-4;Im Dialog mit den Naturwissenschaften;Preßler, Hermann;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-46256-1;Lehrbuch der systemischen Therapie und Beratung II;Schlippe, Arist von /Schweitzer, Jochen;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-01818-8;Den Tod durchdringt das Leben;Schwemmer, Siegfried Johannes;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54393-1;Edith Porada – A Centenary Volume;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77686-6;Leben in Erwartung: die christlichen Zukunftshoffnungen;Sistermann, Rolf;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55911-7;Pietismus und Neuzeit Band 39 – 2013;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30069-5;Die Ambivalenz des Guten;Eckel, Jan;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-56445-5;Um der Sache willen;Bergner, Gerhard;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-71097-5;Ovid, Amores;Klug, Felix;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-35118-5;'Freiheit heißt, die Angst verlieren';Halbrock, Christian;20150218;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99660-8;Etwas mehr Hirn, bitte;Hüther, Gerald;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-49100-3;Feindbilder - Psychologie der Dämonisierung;Alon, Nahi /Omer, Haim;20140813;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36725-5;Christianitas;Geelhaar, Tim;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30067-1;'Höre die Wahrheit, wer sie auch spricht';-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36997-5;Leipziger Juden und die DDR;Niether, Hendrik;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55843-0;Der vergessene Spiritualist Johann Theodor von Tschesch (1595-1649);Karnitscher, Tünde Beatrix;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-63055-7;Predigen mit moderner Literatur;Siebold, Christian /Siebold, Maike;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99687-5;Ethische Schlüsselprobleme;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99654-7;Die Ambivalenz des Guten;Eckel, Jan;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-46199-1;Hysterie;Mentzos, Stavros;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80609-9;Zwischen Sensation und Sensibilität – Leid und Trauer in der Öffentlichkeit;-;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31023-7;Antiklerikalismus in Europa;Dittrich, Lisa;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70120-2;Fantasiereisen für Schüler;Stein, Meike /Stein, Meike;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99669-1;Schulversagen?;Bonney, Helmut /Bonney, Juliane;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-57036-5;Resonances: Neurobiology, Evolution and Theology;Mühling, Markus;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-90032-2;Römische Philosophie: Epikur bei Cicero - Lehrerband;Kuhlmann, Peter;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36013-3;Karl Alexander von Müller;Berg, Matthias;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80605-1;Trauma zwischen Akzeptanz und Ignoranz;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-46058-0;Alfred Adler – wie wir ihn kannten;-;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56020-5;'Eine neue Menschheit darstellen' – Religionsphilosophie als Weltverantwortung und Weltgestaltung;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-25322-9;Gebildete Steine;Christian, Timo;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-31024-3;Skizzen über den Totalitarismus;Hertz, Aleksander;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80010-3;Die 1990er Jahre;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53449-6;Septuaginta. Band 7,2;-;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70208-6;Musik für den Religionsunterricht;Lindner, Heike;20140514;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-71101-9;VIVA 3 - Ausgabe Bayern;Bartoszek, Verena /Datené, Verena;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-88009-9;Systematische Theologie;Pannenberg, Wolfhart;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30168-5;Gerechtigkeit im Wohlfahrtsstaat;Torp, Cornelius;20150218;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-57044-9;50 Jahre Seelsorgevereinbarung in Bundesgrenzschutz und Bundespolizei;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70174-4;Schule ohne Lehrer?;Ulbricht, Arne;20150128;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-80610-4;Trauer hat System - Veränderungsdynamik in Krisen;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-71094-4;VIVA Begleitgrammatik;Bartoszek, Verena /Datené, Verena;20140804;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-57031-9;Jüdische Politik und Presse in der frühen Bundesrepublik;Sinn, Andrea;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-80011-0;Die Stadt;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55774-7;Praktizierte Staatskirchenhoheit im Nationalsozialismus;Marahrens, Hauke;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54396-2;Prophétisme et Alliance;Heintz, Jean-Georges;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-49156-1;Beruflich in Bolivien;Georg, Mariela I. /Kölbl, Carlos;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54395-5;Göttliche Körper – Göttliche Gefühle;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70169-0;Kinder coachen: die bessere Pädagogik;Ruppert, Anne;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-64198-9;Evangelisches Gesangbuch Taschenausgabe - neue Rechtschreibung;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55856-1;Nikolaus Ludwig von Zinzendorf: Bibel und Bibelgebrauch;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-01435-7;Schuld und Schuldgefühl;Hirsch, Mathias;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99684-4;Systemic Interventions;Schlippe, Arist von /Schweitzer, Jochen;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56448-7;Karl Barth – Katsumi Takizawa;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40238-3;Suizid, Suizidalität und Trauer;Schenk, Marion;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40455-4;Die Beschneidung von Jungen;-;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37307-1;Sprache, Gesellschaft und Nation in Ostmitteleuropa;-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54031-3;Religion – Imagination – Ästhetik;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45132-8;Dramen der Verlorenheit: Mutter-Tochter-Beziehungen in der Shoah;Bodenstab, Johanna;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99696-7;Gustav Stresemann;Pohl, Karl Heinrich;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55078-7;Acta of the Synod of Dordt;-;20141028;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30038-2;Die Marokko-Deutschen 1873–1918;Mai, Gunther;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-57031-0;Jüdische Politik und Presse in der frühen Bundesrepublik;Sinn, Andrea;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-60451-0;Mit Gott im Grünen;Grevel, Jan Peter;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-49134-9;Herausforderung Alltag;Baierl, Martin;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-63057-0;Dienst am Wort Sonderausgabe Symbole;Goldschmidt, Stephan;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-10139-1;Erfüllte Hoffnung;Filipová, Lucie;20150218;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-70168-4;Generation 'Social Media';Wampfler, Philippe;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-25322-0;Gebildete Steine;Christian, Timo;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55776-1;Otto Scheel (1876-1954);Mish, Carsten;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-37034-7;Sozialstaat und Gesellschaft;Kott, Sandrine;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31714-4;Schlangenlinien;Masius, Patrick;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71083-8;VIVA 2 Lehrerband;Bartoszek, Verena /Datené, Verena;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56714-3;Vollendung;Wenz, Gunther;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36724-7;Die Semantik des Schicksals;Rehlinghaus, Franziska;20150128;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-80009-7;Politikserien;-;20141215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56414-2;Bestimmtes Selbst;Sievers, Sebastian;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56022-8;Karl Barth und Friedrich Schleiermacher;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-51341-6;Das Evangelium nach Matthäus;Konradt, Matthias;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99506-9;Autorität ohne Gewalt;Omer, Haim /Schlippe, Arist von;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-26141-5;Sanskrit-Wörterbuch der buddhistischen Texte aus den Turfan-Funden. Lieferung 27;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45372-8;Systemisches Handwerk;Fryszer, Andreas /Schwing, Rainer;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-46125-0;'Melancholia' – Wege zur psychoanalytischen Interpretation des Films;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55084-7;The Spirituality of the Heidelberg Catechism;-;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40362-4;Der VerständigungsWürfel;Dujmic-Erbe, Daniela;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-92007-8;Materialien für die Personal- und Organisationsentwicklung in Familienunternehmen;Haralambie, Dana /Kebbekus, Robert;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55073-1;Charlotte von Kirschbaum und Elisabeth Freiling;-;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-33603-8;'... und wir gehören auch dazu';Maurer, Trude;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-53462-6;Die Esra-Apokalypse;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36965-4;Joseph Wulf;Kempter, Klaus;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-57039-5;Ausgewählte Werke;Söderblom, Nathan;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40221-5;Das Mentalisierungskonzept in der Sozialen Arbeit;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-65262-6;Pfarrerkalender/Pfarrerinnenkalender Ersatzblock;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70213-1;Praxisbuch Bibel erleben;Steinkühler, Martina;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-51215-9;Kohelet;Köhlmoos, Melanie;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40465-3;Diagnose: Besonderheit;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54042-9;Das Ende des Holocaust;Rosenfeld, Alvin H.;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37309-5;Krieg im Museum;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40235-2;Denken kann trösten;Zwierlein, Eduard;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-85427-4;Arme und Armut in Göttingen 1860-1914;Schallmann, Jürgen;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-53435-0;Septuaginta. Band 16,1;-;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40446-2;Im Dickicht der Organisation;Heltzel, Rudolf /Weigand, Wolfgang;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40222-2;Schulversagen?;Bonney, Helmut /Bonney, Juliane;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55075-5;A Heavenly Directory;McGraw, Ryan M.;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-64201-6;Evangelisches Gesangbuch Kirchenausgabe - neue Rechtschreibung;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54032-9;Das Markusevangelium als kollektives Gedächtnis;Hübenthal, Sandra;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99573-1;Das Publikum macht die Musik;Müller, Sven Oliver;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55787-8;Handbook of Dutch Church History;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40413-4;Familienalltag mit psychisch auffälligen Jugendlichen;Baierl, Martin;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70163-8;Herausforderndes Verhalten in der KiTa;Schirmer, Brita;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-71102-7;Ovid, Metamorphosen;Hille-Coates, Gabriele;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55056-5;Divinings: Religion at Harvard;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36964-7;Sachsen und der Nationalsozialismus;-;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55775-5;Der Prager Frühling und die evangelischen Kirchen in der DDR;Ruthendorf-Przewoski, Cornelia von;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-10138-4;Umwelt und Weltgestaltung;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
